,Hotel_Address,Average_Score,Hotel_Name,Negative_Review,Positive_Review,Reviewer_Score,Tags,lat,lng,Review_Date
0, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,7.7,Hotel Arena, I am so angry that i made this post available via all possible sites i use when planing my trips so no one will make the mistake of booking this place I made my booking via booking com We stayed for 6 nights in this hotel from 11 to 17 July Upon arrival we were placed in a small room on the 2nd floor of the hotel It turned out that this was not the room we booked I had specially reserved the 2 level duplex room so that we would have a big windows and high ceilings The room itself was ok if you don t mind the broken window that can not be closed hello rain and a mini fridge that contained some sort of a bio weapon at least i guessed so by the smell of it I intimately asked to change the room and after explaining 2 times that i booked a duplex btw it costs the same as a simple double but got way more volume due to the high ceiling was offered a room but only the next day SO i had to check out the next day before 11 o clock in order to get the room i waned to Not the best way to begin your holiday So we had to wait till 13 00 in order to check in my new room what a wonderful waist of my time The room 023 i got was just as i wanted to peaceful internal garden view big window We were tired from waiting the room so we placed our belongings and rushed to the city In the evening it turned out that there was a constant noise in the room i guess it was made by vibrating vent tubes or something it was constant and annoying as hell AND it did not stop even at 2 am making it hard to fall asleep for me and my wife I have an audio recording that i can not attach here but if you want i can send it via e mail The next day the technician came but was not able to determine the cause of the disturbing sound so i was offered to change the room once again the hotel was fully booked and they had only 1 room left the one that was smaller but seems newer , Only the park outside of the hotel was beautiful ,2.9,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 6 nights ']",52.36057589999999,4.915968299999999,2017-03-08
405,1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom,8.5,K K Hotel George, Really nothing negative to say about this hotel, Very comfortable beds smart bathroom good shower Lovely facilities garden an absolute delight friendly staff quiet location,9.6,"[' Leisure trip ', ' Group ', ' Classic Twin Room ', ' Stayed 3 nights ']",51.49188779999999,-0.19497060000000002,2017-03-08
971,1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,9.2,Apex Temple Court Hotel, Difficult to locate the phone to contact reception lack toilet itineraries and it was difficult to locate these , They have followed through special requests Comfortable bed wide choices for breakfast and very clean ,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe King Room with Club Lounge Access and Balcony ', ' Stayed 1 night ']",51.5137335,-0.10875119999999999,2017-02-08
2008,1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,7.7,The Park Grand London Paddington, The first night we were given an extremely small room with the bathroom door broken Next morning when we made a complaint they gave us a perfect room , The size of the room,8.3,"[' Family with young children ', ' Triple Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",51.514218400000004,-0.18090320000000001,2017-02-08
3778,1 3 Rue d Argentine 16th arr 75116 Paris France,8.4,Monhotel Lounge SPA,No Negative, Nice hotel Room was beautiful and bed very comfortable Did not expect big rooms in Paris so size was really ok with 2 windows Bathroom modern and new with a GREAT shower Staff was wonderfull since reservation They sent me an email prior to my arrival asking if they could help me in anyway and also asking if I had any special needs such as extra beds I had a last minute health problem in the family and had to arrive one day earlier and stay for 1 night less Audrey was wonderful and managed to receive me before and dealt herself with Booking to change my reservation I sent a note to her when I was entering my flight from Cannes to Paris and when I left the airplane she had already sorted everything out They even charged me a lower rate as on the day I arrived the room costed a little less In this same day Saturday June 25 I went out with friends and arrived really hungry at the hotel at 1 30AM and the guy from reception can t believe I forgot his name Maybe Hadesmi managed to open the restaurant and get to my room a nice aspargus risoto bread yougurt and a warm smile even thought riom service finishes at midnight Really had a very nice experience at Monhotel and recomend it ,9.2,"[' Leisure trip ', ' Group ', ' Comfort Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.874348100000006,2.2897334,2017-06-29
3813,1 5 Passage Ruelle 18th arr 75018 Paris France,7.2,Kube Hotel Ice Bar, The hotel is situated in the worst area of Paris as the black cab driver i used from outside the station informed me as he charged me five times the going rate for dropping me there The Kube hotel is situated up a dirty side round with timber boarding across the front in the day and 3 4 doorman in the evening The ice bar in the hotel looks nothing like the advert on their website ,No Positive,3.3,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 3 nights ']",48.88657,2.3588332000000003,2017-06-29
3832,1 8 Russell Square Camden London WC1B 5BE United Kingdom,8.0,The Principal London, Hotel closing for refurbishment Most of the staff being sacked Future of the hotel likely to be expensive with new staff They are losing their best asset , Breakfast reasonable in price and good quality Comfy bar Good staff ,7.1,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",51.5226217,-0.1251602,2016-02-08
5257,1 Addington Street Lambeth London SE1 7RY United Kingdom,8.4,Park Plaza County Hall London, Extra bed was the worst breakfast queue was really terrible It s easy to tell people to come at a specific time though you have to arrange it somehow Parking is far away and hard to come back because of road diversions , Just the location and view,5.0,"[' Leisure trip ', ' Family with young children ', ' Executive Studio with London Eye View ', ' Stayed 8 nights ', ' Submitted from a mobile device ']",51.5014001,-0.11600919999999999,2017-03-08
7480,1 Aldwych Westminster Borough London WC2B 4BZ United Kingdom,9.2,One Aldwych, The spa was very disappointing Just 5 cheap beds round the pool Nowhere else to sit The treatments weee nice but not good value for money, The room was pleasant and the bar area nice,5.4,"[' Leisure trip ', ' Group ', ' Aldwych Double Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.5117832,-0.1194172,2017-02-08
7616,1 Avenue Carnot 17th arr 75017 Paris France,8.9,Splendid Etoile, Restaurant and bar closed Sunday evening not informed in the website Water in the room first night only why do hotels charge a lot for the room then not leave water complimentary in the room We were told to walk to the shop at 10 pm for water , Excellent location,7.5,"[' Leisure trip ', ' Group ', ' Classic Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.874707,2.2936761000000003,2017-06-28
7743,1 Bis Rue De Vaugirard 6th arr 75006 Paris France,8.2,Hotel Trianon Rive Gauche, I can t find any faults , This is the third time we stayed at this hotel It is simply great Perfect location and the staff is lovely Definitely recommend it to anyone who is visiting Paris This time I was traveling as family and they gave us a lovely family room on the 7th floor The view was absolutely superb ,10.0,"[' Leisure trip ', ' Family with young children ', ' Triple Room ', ' Stayed 4 nights ']",48.8487675,2.3410376,2017-02-08
7961,1 Hamilton Place Park Lane Westminster Borough London W1J 7QY United Kingdom,8.5,InterContinental London Park Lane, the shower curtains is too easy to leak to the bathroom floor even if you put it into the tube it still leak , The room is very clean and the facility is very thoughtful,9.6,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ']",51.503863200000005,-0.1504132,2017-07-19
